Geneid	L1	L2	L3	L4	R1_1	R1_2	R1_3	R1_4
TMSB4XP4	0	1	0	1	2	0	1	2
URM1	129	140	274	248	261	206	186	311
MIR219A2	0	0	0	0	0	0	0	0
MIR219B	0	0	0	0	0	0	0	0
ODF2-AS1	0	1	0	0	6	0	0	3
FAM205C	0	0	0	0	0	0	0	0
GLULP4	0	0	0	0	0	0	0	0
YWHAZP6	0	0	0	0	0	0	0	0
PHF24	0	0	0	0	0	0	0	0
DNAJB5-DT	7	0	0	1	0	5	2	1
SYF2P2	0	0	0	0	1	0	0	0
RNU6-984P	0	0	0	0	2	0	0	0
HSPE1P22	0	0	0	0	0	0	0	1
MTATP6P29	0	0	0	0	3	0	2	0
MTCO3P29	0	4	3	0	3	7	0	3
MTND3P23	1	1	1	1	3	0	4	5
MTND4LP7	0	0	0	5	0	0	0	0
MTND4P15	1	3	1	4	9	10	4	10
LINC00475	0	1	0	4	2	3	2	0
BEND3P2	0	0	0	0	2	0	0	0
PRSS47	0	0	0	0	0	0	0	1
MIR3651	0	0	0	0	0	0	0	0
SNORA84	0	0	0	0	0	0	1	0
NOL8	1538	842	1508	1894	4295	3245	3771	4912
CENPP	222	161	270	282	378	395	368	480
OGN	8	4	4	15	12	7	13	2
ASPN	6	11	0	1	6	10	4	4
MIR4670	0	1	0	0	0	1	0	0
IPPK	22	10	31	13	88	56	74	58
KIF27	2	7	17	18	65	44	57	60
C9orf64	80	39	59	62	363	236	348	388
HNRNPK	3145	1272	2049	2960	12511	8079	12384	13751
MIR7-1	0	0	0	0	0	0	0	0
Y_RNA	0	0	0	0	0	0	0	0
TESK1	61	92	131	127	138	131	117	167
MIR4667	0	0	0	0	0	0	0	0
RMRP	0	0	0	0	0	0	0	0
RMRP	0	0	0	0	0	0	0	0
CCDC107	15	13	15	16	6	9	6	11
ARHGEF39	50	53	81	91	146	95	103	103
RN7SL22P	0	0	0	0	0	0	0	0
TPM2	133	197	230	223	367	311	234	364
TLN1	3372	9742	9288	9431	10060	6151	7749	9175
MIR6852	0	0	0	0	0	0	0	0
CREB3	93	103	120	152	195	160	175	227
MIR6853	0	0	0	0	0	0	0	0
GBA2	147	321	274	341	596	370	503	540
RGP1	182	232	309	333	524	423	397	545
MSMP	0	0	0	0	0	0	0	0
SPAG8	10	10	16	27	15	18	0	4
HINT2	9	11	17	17	29	26	18	26
TMEM8B	16	32	37	45	36	27	26	41
FAM221B	0	0	0	0	0	2	0	1
OR13E1P	0	0	0	0	0	0	0	0
NDUFA5P4	0	0	0	0	3	0	0	0
HRCT1	0	0	0	0	0	0	0	0
SPAAR	1	1	0	0	0	2	0	1
PGAM1P2	0	0	0	0	0	0	0	0
OR2S2	0	0	0	0	0	0	0	0
YBX1P10	304	119	178	311	1130	682	887	1097
LNCARSR	0	0	0	2	0	0	0	0
CHCHD2P9	0	1	1	2	0	1	2	4
MLLT3	722	497	852	975	1199	1043	1061	1359
MIR4473	0	0	0	0	2	0	0	0
RNU4-26P	0	0	0	0	0	0	0	0
MIR4474	0	0	0	0	0	0	0	0
FOCAD-AS1	0	3	4	5	0	1	0	3
MIR491	0	0	0	0	0	0	0	0
SNORA30B	0	0	0	0	0	0	0	0
EXD3	16	70	69	64	49	64	32	64
ENTPD8	0	0	0	0	0	0	0	0
MIR7114	0	0	0	0	0	0	0	0
PNPLA7	9	59	44	53	29	22	21	33
MRPL41	266	340	532	599	408	352	234	399
DPH7	159	264	312	299	461	342	359	470
ZMYND19	259	379	470	471	494	450	401	577
ARRDC1	34	90	104	67	110	68	81	105
Metazoa_SRP	4	0	0	0	0	0	0	0
SETP5	0	0	0	0	0	0	0	0
SPATA31C1	3	5	3	1	0	4	0	1
RNU6-86P	0	0	0	0	0	0	0	0
RPS10P3	0	3	3	2	0	5	1	5
C9orf92	0	0	0	0	0	0	0	0
BNC2-AS1	0	0	0	0	0	0	0	0
DOCK8-AS1	4	1	2	6	15	4	10	12
RPL12P25	0	3	0	0	1	0	0	2
RNU6-1327P	0	0	0	0	0	0	0	0
EIF1P1	0	0	0	0	0	0	0	0
DMRT1	0	2	0	0	0	0	0	1
DMRT3	0	0	0	0	0	1	0	0
C9orf129	0	0	0	0	2	0	0	0
RNU6-829P	0	0	0	0	0	0	0	0
Y_RNA	0	0	0	0	0	0	0	0
FAM120AOS	259	263	285	408	967	699	719	1036
FAM120A	191	112	176	241	1564	913	1483	1633
MIR548AU	0	0	0	1	0	0	0	0
TRAF1	25	16	12	15	46	35	37	37
C5	20	3	4	12	22	22	39	31
RAB14	113	49	129	147	545	340	515	599
RN7SL181P	0	0	0	0	0	0	0	0
GSN-AS1	0	13	11	16	8	13	2	2
ACNATP	0	0	0	0	0	1	0	0
TRMT112P4	0	0	0	0	0	0	0	0
FYTTD1P1	0	0	0	0	0	0	0	0
MRPL50	238	77	148	246	448	379	388	511
TMEM246-AS1	0	0	0	0	1	0	0	0
PGAP4	1	3	1	4	15	7	10	10
RNF20	992	580	712	1028	3958	2767	3580	4071
PPP3R2	0	0	0	0	0	0	0	0
BAAT	1	1	6	4	2	1	3	4
CAAP1	95	41	74	117	669	391	568	592
H3P31	0	0	0	0	0	0	0	0
RN7SL100P	0	0	0	0	0	0	0	0
PLAA	224	174	293	312	676	510	614	699
IFT74-AS1	0	0	0	0	0	0	0	0
LRRC19	0	0	6	1	2	1	1	5
RNA5SP280	0	0	0	0	0	0	0	0
LINC00032	2	0	0	0	3	4	1	0
EQTN	1	0	0	1	2	2	1	0
GLDC	0	2	0	0	0	2	1	0
XPA	275	203	322	326	696	512	516	650
NSMF	95	139	124	139	309	231	274	384
SCAI	26	17	23	37	58	39	45	32
CNTNAP3B	0	0	0	0	0	0	0	0
CEP78	164	112	191	273	493	301	418	466
AUH	76	50	69	153	588	340	470	516
GDA	0	0	0	0	0	0	0	0
DNM1	4	16	6	10	10	16	7	12
JAK2	119	102	99	172	889	521	907	931
SUSD1	121	68	115	164	584	388	554	566
TMC1	0	5	0	2	4	3	2	6
TMEM252	0	0	0	0	0	0	0	0
GARNL3	3	5	5	0	7	2	2	4
FBXW5	430	663	721	759	607	521	495	646
C8G	0	5	3	8	11	7	0	7
LCN12	4	3	0	4	0	1	0	2
LINC02692	0	2	0	0	0	0	0	0
PTGDS	2	1	3	2	0	1	0	0
LCNL1	0	0	0	0	2	0	0	3
PAXX	117	171	224	219	153	105	107	168
CLIC3	8	0	0	0	0	1	0	1
LINC02908	25	50	35	37	17	11	13	24
FUT7	2	1	1	2	1	0	0	2
NPDC1	0	1	4	3	0	0	1	4
ENTPD2	0	0	0	0	0	1	0	0
SAPCD2	30	33	55	54	103	84	68	100
UAP1L1	49	76	67	61	89	87	115	100
MAN1B1-DT	2	5	14	8	7	6	8	9
DPP7	243	399	505	494	364	329	267	422
GRIN1	7	11	5	8	5	8	2	2
TMEM210	0	0	0	0	0	0	0	0
ANAPC2	282	758	786	834	554	492	438	613
SSNA1	841	1085	1506	1512	1270	1051	972	1373
TPRN	78	136	183	174	190	145	139	193
TMEM203	113	119	223	263	272	245	180	289
CYSRT1	0	6	6	9	10	1	6	14
RNF224	0	2	3	5	5	6	3	3
SLC34A3	15	84	60	35	24	24	20	13
TUBB4B	5725	6134	9263	9992	9957	8479	7537	10659
FAM166A	5	30	15	29	4	4	1	0
STPG3-AS1	2	6	8	9	3	4	7	4
NELFB	301	575	587	545	828	616	645	842
TOR4A	36	31	45	39	106	55	75	95
NRARP	9	11	10	2	14	10	7	14
TEK	0	1	0	2	9	1	4	2
SLC25A6P5	0	0	0	0	0	0	0	0
MIR8081	0	0	0	0	0	0	0	0
RN7SKP77	0	0	0	0	2	0	0	0
RNA5SP292	0	0	0	0	0	0	0	0
ZNF462	4	1	4	3	7	8	2	6
RNU2-46P	0	0	0	0	0	0	0	0
RNA5SP289	0	0	0	0	0	0	0	0
PARK7P2	0	0	0	0	0	0	0	0
Y_RNA	0	0	0	0	0	0	0	0
EIF4BP3	1	0	3	1	6	4	7	5
RPL36AP35	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	3	0	0
ELP1	414	252	359	461	1032	795	869	1057
ABITRAM	15	9	8	16	54	42	53	89
CTNNAL1	525	280	576	649	1418	906	1269	1580
Y_RNA	1	0	2	4	3	1	2	0
MIR32	0	0	0	0	0	0	0	0
FUBP3	174	294	324	306	1594	774	1509	1477
MIR6856	0	0	0	1	2	0	0	0
ABL1	110	315	252	293	680	325	605	643
QRFP	0	7	5	3	2	3	3	2
FIBCD1	1	2	0	0	0	1	0	0
PRDM12	3	1	0	0	0	0	0	0
IER5L	0	5	0	0	0	0	2	2
LINC02913	0	0	0	0	2	0	0	0
RN7SL159P	0	0	0	0	0	0	0	0
VN2R3P	0	0	0	0	0	0	0	1
RBM17P1	0	0	0	0	0	0	0	0
RN7SL640P	0	0	0	0	0	0	0	0
SPATA31A1	0	0	0	0	0	0	0	0
FAM74A1	0	0	0	0	0	0	0	0
ZNF658B	0	0	0	0	3	1	4	3
SKP1P3	0	0	0	0	0	0	0	0
FKBP4P2	0	0	0	0	0	0	0	0
SDR42E1P1	0	0	0	0	0	0	0	0
ATP5F1AP8	0	0	0	0	0	0	0	0
RAB28P1	0	0	0	0	1	0	0	0
RBPJP5	0	0	0	0	0	0	0	0
FGF7P3	0	0	0	0	0	0	0	0
RN7SL763P	0	0	0	0	0	0	0	0
SNORA70	0	0	0	0	0	0	0	0
RPL7AP49	0	0	0	0	0	0	0	0
CDRT15P14	0	0	0	0	0	0	0	0
MEP1AP1	0	0	2	0	0	0	0	0
ANKRD20A2P	0	0	0	0	0	0	0	0
RNU6-1269P	0	0	0	0	0	0	0	0
SNX18P8	0	1	0	0	3	2	2	0
FAM95B1	12	18	13	13	24	15	28	22
CNN2P2	0	0	0	0	0	0	0	0
GXYLT1P3	0	0	0	0	0	0	1	0
AQP7P5	0	0	0	0	0	0	0	0
SLC46A2	0	3	0	0	0	0	0	0
MUPP	0	0	0	0	0	0	0	0
FAM225B	0	0	0	0	0	0	0	0
FAM225A	0	0	0	0	0	0	0	0
SLC31A2	0	1	0	0	0	1	1	1
OR1K1	1	4	11	2	3	2	0	1
KRT18P67	0	0	0	0	0	0	0	0
RC3H2	153	174	250	289	575	416	495	562
SNORD90	0	0	0	0	0	0	0	0
ZBTB6	13	8	31	41	80	38	64	82
ZBTB26	6	18	32	24	52	40	58	74
RABGAP1	189	113	121	188	710	459	751	754
RNY1P15	0	0	0	0	0	0	1	2
MIR600HG	23	300	218	200	196	104	136	182
STRBP	405	245	307	404	1408	920	1321	1326
MIR600	0	0	0	0	0	0	0	0
RNU6-820P	0	0	0	0	0	0	0	0
BNC2	0	1	0	7	5	7	4	8
LSM1P1	0	0	0	0	0	0	0	0
FXN	65	49	69	62	95	80	80	77
TJP2	29	77	77	78	192	157	291	259
NALT1	0	0	5	3	6	3	6	2
EGFL7	317	625	614	593	956	794	603	1036
MIR126	0	2	4	4	3	3	4	1
AGPAT2	8	34	52	61	29	32	38	37
DIPK1B	12	34	30	16	25	6	17	11
SNORA17B	0	0	0	0	0	0	0	0
SNORA17B	0	0	0	0	0	0	0	0
SNORA17A	0	0	0	0	0	0	0	0
LCN10	0	0	0	2	1	0	0	0
LCN6	0	0	0	0	0	0	0	0
MIR6722	0	0	0	0	0	0	0	0
LCN15	0	1	0	3	2	1	0	5
ATP6V1G1P3	0	0	1	0	0	1	2	3
TMEM141	97	197	215	207	130	128	106	169
CCDC183	38	78	107	87	155	135	101	125
CCDC183-AS1	18	36	28	26	23	21	12	27
RABL6	5631	10524	11755	11887	9545	7870	6365	9196
NCLP1	1	3	0	1	3	2	2	2
MIR4292	3	12	14	3	11	7	11	12
PHPT1	120	123	212	161	126	124	98	143
MAMDC4	38	143	96	93	89	74	51	87
EDF1	7519	10219	15717	17096	11642	10425	8432	13058
MIR4479	0	0	0	1	1	0	0	0
DNLZ	7	4	1	3	0	4	0	1
CARD9	143	267	272	273	337	269	220	316
ENTR1	311	368	437	500	671	577	577	782
PMPCA	541	713	910	882	1310	938	1028	1314
INPP5E	23	73	66	66	109	73	72	138
C9orf163	6	0	4	1	7	2	0	4
FSD1L	1	7	13	26	43	42	48	57
RALGAPA1P1	6	2	9	10	41	27	48	37
TAL2	0	0	0	3	0	0	0	0
CDK20	13	4	14	4	16	3	12	17
USP20	301	561	662	638	779	630	635	896
AKNA	24	76	65	59	82	43	66	74
AGTPBP1	264	151	298	380	577	501	552	690
IZUMO3	0	0	0	1	0	0	0	0
KIAA1958	10	6	8	8	25	19	34	15
ZFP37	0	0	0	0	0	1	0	0
NTMT1	136	185	214	286	201	170	165	220
NEK6	29	39	49	36	73	44	45	42
MSANTD3	262	140	213	296	595	504	536	658
OLFM1	0	0	0	0	3	1	0	2
ZCCHC7	165	97	157	211	610	404	505	647
TLE4	13	23	25	40	51	39	57	45
ABHD17B	14	28	37	28	87	52	86	65
PRKACG	0	0	0	0	1	1	1	1
ORM2	3	1	1	0	0	0	1	0
KDM4C	449	256	335	441	1458	947	1310	1419
CBWD3	13	6	58	36	77	52	39	52
SPATA31A5	0	0	0	0	0	0	0	0
CCDC187	0	2	0	2	2	3	0	1
PTBP3	178	201	320	305	510	385	482	582
B4GALT1	23	24	31	42	151	89	125	116
FKTN	14	14	15	29	74	43	66	61
FBXO10	4	21	15	20	17	18	11	27
TOMM5	180	202	283	411	669	488	540	588
RAB1C	0	1	0	0	0	0	0	1
FRMPD1	0	0	0	0	0	3	0	0
RN7SKP171	0	0	0	0	1	0	0	0
TRMT10B	49	51	48	88	125	93	114	125
EXOSC3	420	254	526	567	878	765	824	977
DCAF10	28	24	38	40	124	74	115	127
PAICSP1	0	0	0	0	0	0	0	0
SLC25A51	20	7	11	18	31	50	42	54
TMX2P1	5	0	1	3	24	9	14	17
SHB	17	29	15	18	14	17	18	33
RNU7-124P	0	0	0	0	0	0	0	0
U8	0	0	0	0	0	0	0	0
AIF1L	0	2	5	4	4	3	1	4
RNU6-881P	0	0	0	0	0	0	0	0
FAM78A	94	117	179	141	301	233	306	399
Y_RNA	0	0	0	0	0	0	0	0
PRDX1P1	0	0	0	0	0	0	1	1
LINC01235	0	0	0	0	0	0	0	2
LAMC3	0	0	0	3	1	0	0	0
SNORD62A	0	0	0	0	0	0	1	0
SNORD62B	0	0	0	0	0	0	0	0
UCK1	115	119	140	167	259	207	220	255
FAM74A3	0	0	0	0	0	0	0	0
SPATA31A3	0	0	0	0	0	0	0	1
MIR2278	0	0	1	0	0	0	0	3
MIR6081	0	0	0	0	0	0	0	0
MIR23B	0	0	0	0	0	0	0	0
MIR27B	0	0	0	0	0	0	1	0
MIR3074	0	0	0	0	0	0	0	0
MIR24-1	0	0	0	0	0	0	0	0
RNA5SP288	0	1	0	0	0	0	0	0
ENG	472	579	756	732	936	728	719	968
Y_RNA	0	0	0	0	0	0	0	0
RNA5SP296	0	2	2	3	0	1	0	1
AK1	24	24	26	26	34	25	27	36
MIR4672	1	0	0	3	0	2	0	0
ST6GALNAC4	209	191	270	332	269	230	209	282
PIP5KL1	7	29	20	36	5	0	11	3
DPM2	214	148	227	239	317	262	241	348
FAM102A	7	36	22	45	65	37	54	63
PRXL2C	29	11	48	46	71	67	58	80
ZNF782	22	10	20	28	45	31	55	47
PTMAP11	8	6	12	16	29	27	23	24
NUTM2G	42	149	91	139	85	76	67	74
YRDCP2	0	0	0	0	0	0	0	0
PAPPA-AS2	1	1	2	0	0	0	3	0
PAPPA-AS1	0	0	0	0	0	0	0	0
ASTN2-AS1	0	0	0	0	0	1	1	0
RPL10P3	0	0	0	0	1	0	0	0
SNORA70C	0	0	0	0	0	0	0	0
RN7SKP128	0	0	0	0	0	0	0	0
RN7SKP125	0	0	0	0	0	0	0	0
MIR4478	0	0	0	0	0	0	0	0
NDUFA8	310	275	492	571	553	485	425	617
MORN5	0	0	0	0	0	0	0	0
RBM18	75	65	85	120	238	150	163	255
MRRF	234	136	156	240	713	525	561	768
MPDZ	6	0	8	13	82	31	79	86
PLPP7	2	3	5	8	12	3	7	13
PRRT1B	0	0	0	0	0	0	0	0
WHRN	7	10	8	8	18	21	12	17
TMEM268	10	13	7	11	25	7	25	33
Y_RNA	0	0	0	0	0	0	0	0
TEX53	0	0	0	0	2	0	0	0
TEX48	0	0	0	0	0	1	0	0
TNFSF15	0	0	1	0	2	0	0	0
ATP6V1G1	682	264	520	707	2624	1807	2319	3041
PSMD5	36	32	34	69	155	112	164	173
PHF19	250	322	393	404	680	537	557	702
TRIM32	19	5	15	15	84	45	67	86
GSN	175	210	251	235	354	243	258	347
CDCA4P1	0	0	0	0	0	0	0	0
CER1	0	0	0	0	0	1	0	0
RNU6-1260P	0	0	0	0	0	0	0	0
LDHAP4	0	0	0	0	0	0	0	0
PSIP1P1	0	0	1	4	4	7	4	5
UBE2V1P10	0	0	0	0	0	0	0	0
CTSL3P	0	1	0	0	1	0	0	0
SUGT1P1	6	8	7	8	12	10	21	16
SNX18P7	12	49	33	38	33	41	28	30
CYP4F26P	45	82	88	85	112	91	76	107
PRSS3P4	0	6	14	5	1	5	4	12
TRBV20OR9-2	6	5	2	1	3	0	2	5
ANXA2P2	22	15	17	19	100	83	75	83
TRBV21OR9-2	0	0	0	0	0	0	0	0
TRBV22OR9-2	0	0	0	0	0	0	0	0
TRBV23OR9-2	0	0	0	0	0	0	0	0
TRBV24OR9-2	0	0	0	0	0	0	0	0
TRBV25OR9-2	0	0	0	0	0	0	0	0
PTENP1	4	0	1	4	3	0	3	0
PTENP1-AS	1	1	0	3	2	2	0	1
TRBV26OR9-2	0	0	0	0	0	0	0	0
UBE2R2-AS1	0	0	1	0	2	6	3	3
LINC01251	0	1	0	0	0	1	1	0
TRBV29OR9-2	0	0	0	0	0	0	0	0
UBE2R2	223	152	280	314	678	423	495	664
Y_RNA	0	0	0	0	0	0	0	0
RNU4ATAC11P	0	0	2	0	0	0	0	0
SNORD121B	0	0	0	0	0	0	0	0
SNORD121A	0	0	0	0	1	0	0	0
OSTCP8	0	4	0	0	0	3	2	0
RN7SKP114	0	0	0	0	0	0	0	0
DCAF12	99	44	104	131	322	201	324	321
TUBB4BP2	1	1	3	0	2	1	1	0
CTSL	4953	3981	7110	8590	8434	6783	7383	9902
FREM1	2	2	6	12	13	10	12	13
RN7SL187P	1	0	0	0	0	0	0	0
HMGB1P37	0	0	0	0	0	1	0	1
PTGES2	208	425	447	463	493	409	351	497
SMC5	119	151	152	251	990	480	1143	897
Y_RNA	0	0	0	0	0	0	0	0
RN7SL726P	0	0	0	0	0	0	0	0
MIR204	0	0	0	0	0	0	0	0
PIGUP1	0	0	0	0	0	0	0	0
RPL35AP21	0	0	0	0	0	0	0	0
OR13F1	0	2	0	0	0	0	0	0
OR13C4	0	0	0	0	0	0	0	0
OR13C8	0	0	0	0	0	0	0	0
OR13D2P	0	0	0	0	0	0	0	0
OR13C5	0	0	0	0	0	0	0	0
OR13C2	0	0	0	0	0	0	0	0
OR13C9	0	0	0	0	0	0	0	0
OR13I1P	0	3	0	0	0	0	0	0
OR13C1P	0	0	0	0	2	0	0	0
OR13D3P	0	4	0	0	0	1	0	1
NIPSNAP3A	89	23	41	103	268	148	208	289
NIPSNAP3B	20	35	68	60	103	89	70	99
CT70	3	0	0	0	4	0	0	0
ABCA1	0	4	2	0	8	6	7	6
WDR38	0	5	4	9	4	1	1	2
CFAP77	0	6	3	4	4	8	4	1
LCN1	0	0	0	0	0	0	0	0
GPR21	0	0	0	0	0	0	0	0
FRRS1L	0	4	15	11	41	35	74	51
OBP2A	0	0	0	0	0	1	0	0
GPR107	220	183	302	337	509	407	459	527
IFT74	318	177	303	470	1305	943	1057	1303
ZDHHC21	30	18	31	33	125	86	100	122
STXBP1	13	12	21	20	39	21	23	20
CDKN2A	26	32	34	63	17	13	19	28
FAM205BP	0	0	0	0	0	0	0	0
C9orf131	0	15	3	2	4	3	0	0
RN7SL338P	0	0	10	4	3	0	2	5
PIGO	27	44	30	53	89	58	84	75
STOML2	641	532	894	1077	1338	922	982	1295
FAM214B	80	241	253	290	363	258	365	375
MIR3152	1	0	0	0	0	0	0	0
RN7SKP258	0	0	0	0	0	1	0	1
RAP1BP1	0	0	0	0	0	0	0	0
SAXO1	0	1	0	0	0	0	0	0
RRAGA	83	46	98	102	322	250	342	384
ADAMTSL1	0	1	0	1	0	2	0	4
FANCG	235	306	390	365	580	493	543	630
DNAI1	0	4	0	1	0	4	1	0
ENHO	0	1	0	0	0	0	0	0
CNTFR	0	0	0	0	1	2	1	0
CNTFR-AS1	0	0	0	0	0	0	0	0
RPP25L	52	88	117	125	140	97	122	136
DCTN3	492	442	701	914	1019	742	734	1000
GALT	16	31	32	27	21	17	37	26
CCL27	0	0	0	0	0	0	0	0
CCL19	0	4	0	0	0	0	0	0
CCL21	0	0	0	0	0	0	0	0
FAM205A	0	0	0	1	0	0	0	0
SIGMAR1	467	378	556	668	1188	886	967	1225
MIR6877	0	0	0	0	0	0	0	0
GTF3C5	924	1387	1659	1830	2014	1460	1460	2042
CEL	1	10	9	17	7	3	4	7
CELP	7	4	3	0	0	0	2	0
RALGDS	42	205	181	145	174	134	139	196
GBGT1	88	190	210	218	187	169	154	198
LCN1P1	0	0	0	0	0	1	0	0
ABO	84	59	109	150	292	190	263	319
Y_RNA	0	0	0	0	0	0	0	0
LCN1P2	0	0	0	3	0	0	0	0
SURF6	1812	2462	3069	3210	4297	3609	3072	4231
Y_RNA	0	0	0	0	0	0	0	2
MED22	135	234	221	234	369	263	349	311
RPL7A	13859	12671	21270	23939	26594	25446	21781	31118
SNORD24	0	0	0	0	0	0	0	0
SNORD36B	0	0	0	0	0	0	0	0
SNORD36A	0	0	0	0	0	0	0	0
SNORD36C	0	0	0	0	0	0	0	0
SURF1	164	222	315	337	291	205	231	335
SURF2	789	1410	2087	2003	860	721	514	897
SURF4	338	333	425	534	981	632	801	1049
STKLD1	20	26	17	17	20	18	8	23
REXO4	998	1314	1325	1644	2714	2072	2359	2940
ADAMTS13	7	13	8	9	22	10	11	15
CACFD1	0	7	2	1	5	5	3	2
SLC2A6	0	1	3	4	6	7	3	7
MFSD14C	79	102	83	134	188	145	147	149
TCEA1P1	0	0	0	0	0	0	0	0
GAS2L1P2	0	0	1	0	0	1	0	0
VN1R51P	0	0	0	0	0	0	0	0
FAM220CP	0	0	0	3	3	4	0	2
ANKRD18CP	0	0	7	7	12	12	10	13
RNU6-798P	0	0	0	0	0	0	0	0
ZNF322P1	0	0	0	0	8	4	2	1
SUGT1P4	0	0	0	0	0	0	0	0
CTSV	7	4	9	9	39	15	31	32
OR13C6P	0	1	0	0	0	0	0	0
OR13C7	0	0	0	0	0	0	0	0
OR2AM1P	0	0	0	0	0	0	0	0
RECK	5	4	3	7	17	9	14	10
CLTA	2413	2058	3327	3862	3015	2512	2182	3159
GNE	91	41	36	60	257	141	252	243
HMGB3P24	0	0	0	1	0	0	2	3
PPP6C	72	71	126	129	380	236	349	439
PRPS1P2	0	1	0	0	13	7	5	11
RPSAP76	0	0	0	1	0	0	0	0
RABEPK	82	50	81	67	87	72	79	95
HSPA5	4714	3501	6013	7035	13050	10009	10042	13281
RNU6-1020P	0	0	0	0	0	0	0	0
Metazoa_SRP	0	0	0	0	0	0	0	0
RNA5SP281	0	0	0	0	0	0	0	0
SLC25A5P8	0	0	0	0	0	0	0	0
ACO1	55	41	76	71	335	213	332	336
NDUFB6	194	154	239	285	552	372	331	540
DFFBP1	4	0	3	1	2	1	5	1
TAF1L	0	1	0	0	0	0	2	0
SNRPCP1	0	0	0	0	0	0	0	0
DDX58	2	1	1	2	3	7	13	8
TOPORS	496	128	220	356	2901	1897	2772	2934
NOTCH1	8	17	12	9	7	7	11	11
GTF3C4	37	63	85	91	308	183	280	296
AK8	0	1	0	0	3	2	0	1
SPACA9	12	6	13	21	18	23	26	28
TSC1	257	285	304	435	928	658	788	929
MIR548AW	0	0	0	0	0	0	0	0
RNU7-21P	0	0	0	0	0	0	0	0
EEF1A1P5	1321	357	716	1210	7047	4282	5980	7096
GFI1B	1614	1637	2348	2558	2944	2521	2649	3728
DDX11L5	0	0	4	1	0	0	0	0
WASHC1	219	482	783	668	407	360	271	462
MIR1302-9HG	8	40	17	15	7	11	7	3
MIR1302-9	0	0	0	0	0	0	0	0
FAM138C	0	0	3	1	1	0	0	0
LINC01388	0	0	0	0	0	0	0	0
FOXD4	12	1	2	7	1	0	1	3
CBWD1	532	415	822	786	1437	1121	1155	1458
LRSAM1	171	409	334	374	594	428	425	601
RNU7-171P	0	0	0	0	0	0	0	0
SPTAN1	66	122	117	124	165	75	147	134
VTI1BP4	0	2	0	0	0	2	0	0
VCP	2349	2121	3011	3474	4517	3859	3768	5126
KCNV2	0	1	0	1	2	0	2	3
VLDLR	0	1	5	5	9	12	18	9
SH3GLB2	241	542	516	515	620	480	534	636
DOLPP1	55	101	116	151	194	143	158	198
PTPA	260	433	553	557	579	499	503	659
PKN3	137	212	165	173	348	270	278	369
RN7SL560P	0	0	0	0	0	0	0	0
ZDHHC12	93	166	162	167	143	147	117	145
ZER1	143	254	243	304	429	271	371	410
Metazoa_SRP	0	1	1	1	0	0	0	0
TBC1D13	75	87	123	119	149	105	122	187
ENDOG	9	47	37	28	18	21	19	31
SPOUT1	0	2	0	2	1	0	4	6
KYAT1	1	6	4	4	3	8	4	2
LRRC8A	153	232	252	258	419	316	490	477
PHYHD1	19	6	0	13	20	11	15	25
DOLK	66	59	109	86	102	87	104	102
NUP188	141	363	356	346	706	524	777	761
CRAT	208	214	284	307	628	410	499	547
LINC00963	116	237	163	189	329	260	304	301
RNA5SP284	0	0	0	0	0	0	0	0
DUX4L50	0	5	3	1	4	1	7	2
MIR4477B	5	3	4	8	3	6	7	11
FRG1JP	8	6	3	7	4	4	3	6
U6	0	0	0	0	0	0	0	0
TRPM3	0	2	0	0	1	0	2	0
DYNC2I2	301	749	795	707	704	547	507	739
SEMA4D	43	106	132	120	190	121	192	199
ZNF510	25	19	35	47	141	85	144	136
ASTN2	1	8	14	3	11	12	5	19
WDR5	238	261	311	424	526	423	451	529
IFNK	0	0	0	0	8	1	1	1
GGTA1	34	8	15	15	14	19	11	17
C9orf152	1	1	0	0	3	4	0	1
LRRC26	0	0	0	0	0	0	0	0
EPB41L4B	3	0	7	0	3	2	1	13
TNFSF8	2	1	5	1	5	1	2	4
IFNE	0	0	0	0	0	0	0	0
OMD	7	2	1	10	17	12	5	4
LCN8	0	0	0	2	0	0	1	0
FOXD4L6	0	0	0	0	0	0	0	0
OR1L6	0	0	3	0	2	3	0	0
DKFZP434A062	0	0	0	1	1	1	0	0
GPSM1	5	8	16	5	14	7	4	19
POMT1	44	101	77	64	120	58	81	64
SOHLH1	0	0	0	0	0	0	0	0
KCNT1	0	5	4	11	3	4	1	4
NOXA1	3	24	7	27	21	21	18	23
GLIS3-AS1	0	0	0	0	0	0	0	0
RNU6-694P	0	0	0	0	0	0	0	0
UBAP2	234	366	367	391	816	489	822	737
PRSS3	0	0	0	0	0	0	0	3
SLC25A25	121	168	151	196	446	266	331	414
DNAJB5	0	6	14	4	55	40	48	54
MAN1B1	227	578	509	518	831	674	762	874
OR1J1	0	1	0	1	0	0	1	0
OR1J2	0	0	0	3	0	0	0	0
OR1J4	0	0	0	0	0	0	0	0
OR1N1	0	0	0	0	0	0	0	0
OR1N2	0	0	0	0	0	0	0	0
OR1H1P	0	0	0	0	0	0	0	0
OR1Q1	0	0	0	0	1	0	0	0
OR1B1	0	0	0	0	0	0	0	0
OR1L1	0	0	0	0	0	0	0	0
TLK1P1	0	0	0	0	0	1	0	0
ERCC6L2	57	75	130	138	288	205	328	347
GLIS3	2	0	0	2	0	3	0	0
ZNF169	9	18	8	13	44	15	27	44
