ID	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-1296071		Potassium Channels	18/808	103/10899	0.000515035	0.006443306	0.005698142	KCNH2/GNGT2/GNG8/KCNA1/KCNH5/KCNN4/KCNQ4/KCNQ5/KCNS3/GNB5/KCNN2/ABCC9/HCN4/KCNAB3/KCNS2/KCNN1/GNG3/KCNAB1	18
R-HSA-2142691		Synthesis of Leukotrienes (LT) and Eoxins (EX)	7/808	21/10899	0.000554236	0.006862245	0.006068632	DPEP2/ALOX5/DPEP3/CYP4F3/CYP4A22/GGT1/GGT5	7
R-HSA-418346		Platelet homeostasis	16/808	88/10899	0.000661603	0.008108014	0.007170328	ATP2B4/SLC8A3/GNGT2/GNG8/PTPN6/P2RX4/P2RX7/ORAI2/NOS3/GNB5/ATP2B2/GUCY1B1/P2RX5/PDE9A/GNG3/NOS2	16
R-HSA-9658195		Leishmania infection	24/808	164/10899	0.000997792	0.012104533	0.010704653	JUN/FCGR2A/ADCY6/ACTG1/PLK2/DPEP2/PRKACA/GNGT2/GNG8/VAV1/P2RX4/P2RX7/MAPK3/WIPF1/FCGR3A/GNB5/C3AR1/DPEP3/IL1B/WNT5A/MEFV/GGT1/GGT5/GNG3	24
R-HSA-140342		Apoptosis induced DNA fragmentation	5/808	13/10899	0.001721601	0.020676426	0.018285213	H1-3/H1-5/H1-4/H1-2/H1-1	5
R-HSA-4551638		SUMOylation of chromatin organization proteins	13/808	71/10899	0.001929467	0.022943467	0.020290072	H4C5/H4C6/H4C3/H4C8/H4C9/H4C13/H4C4/H4C2/H4C15/H4C12/H4C11/H4C14/H4C1	13
R-HSA-375165		NCAM signaling for neurite out-growth	12/808	63/10899	0.00200777	0.023640513	0.020906505	SPTBN2/SPTA1/SPTAN1/CACNA1H/NCAM1/MAPK3/FGFR1/COL9A2/ST8SIA4/COL9A3/CACNA1I/SPTBN5	12
R-HSA-5578775		Ion homeostasis	11/808	56/10899	0.002364061	0.027565408	0.02437749	ATP2B4/TRPC1/RYR3/PRKACA/SLC8A3/ORAI2/ATP2B2/TRDN/ATP1B1/ABCC9/ATP1A4	11
R-HSA-5688426		Deubiquitination	36/808	298/10899	0.002440638	0.028184671	0.024925135	H2BC18/H2BC14/H2AC15/H2BC9/H2AC12/H2AC11/H2BC4/H2BC10/H2BC7/H2BC6/H2AC4/H2AC14/H2AC8/H2AC17/H2BC3/H2AC13/H2BC15/H2BC8/H2AC21/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/USP18/H2BC17/H2AC16/H2BC21/TNFAIP3/UBE2D1/USP26/H2AC20/USP17L2/ADRB2/CCNA1	36
R-HSA-416476		G alpha (q) signalling events	28/808	216/10899	0.002613622	0.029894857	0.026437539	NTS/PIK3R1/GPR65/GNA15/PRKCH/RGS3/KALRN/GNGT2/PLCB4/GNG8/HBEGF/DGKA/PROKR1/RGS16/TAC3/MAPK3/RGS2/GNB5/PLCB2/GPR68/RGS4/P2RY2/TRH/FFAR3/GPR132/RGS13/GNG3/TBXA2R	28
R-HSA-1474228		Degradation of the extracellular matrix	20/808	140/10899	0.003383283	0.038333239	0.033900029	CDH1/LAMB3/A2M/CTSS/COL23A1/ADAM8/CAPN12/COL9A2/MMP19/COL10A1/ADAMTS4/TLL2/MMP24/COL9A3/MMP15/MMP9/BCAN/NID1/COL26A1/SPP1	20
R-HSA-114604		GPVI-mediated activation cascade	8/808	35/10899	0.003432062	0.038522492	0.034067395	RHOB/PDPN/PIK3R1/LCP2/VAV1/PTPN6/PRKCZ/MPIG6B	8
R-HSA-913531		Interferon Signaling	26/808	200/10899	0.003509063	0.039022076	0.034509203	TRIM10/XAF1/GBP5/IFIT3/HLA-A/EGR1/ISG20/IFITM1/IRF6/BST2/PTPN6/GBP4/USP18/SOCS1/TRIM29/NCAM1/MAPK3/IFITM2/EIF4A1/SOCS3/IFITM3/TRIM6/IRF7/IFIT2/IFIT1/IRF4	26
R-HSA-1296072		Voltage gated Potassium channels	9/808	43/10899	0.003691156	0.040300708	0.035639961	KCNH2/KCNA1/KCNH5/KCNQ4/KCNQ5/KCNS3/KCNAB3/KCNS2/KCNAB1	9
R-HSA-432040		Vasopressin regulates renal water homeostasis via Aquaporins	9/808	43/10899	0.003691156	0.040300708	0.035639961	AQP1/ADCY6/AQP2/PRKACA/GNGT2/GNG8/GNB5/MYO5B/GNG3	9
R-HSA-9009391		Extra-nuclear estrogen signaling	13/808	77/10899	0.004047276	0.043790797	0.038726425	PIK3R1/BCL2/HSPB1/GNGT2/GNG8/HBEGF/MAPK3/NOS3/GNB5/AREG/PRKCZ/MMP9/GNG3	13
R-HSA-445717		Aquaporin-mediated transport	10/808	52/10899	0.004319683	0.046320882	0.040963907	AQP1/ADCY6/AQP2/PRKACA/GNGT2/GNG8/GNB5/MYO5B/AQP5/GNG3	10
R-HSA-198933		Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	19/808	134/10899	0.004589465	0.048778292	0.04313712	SIGLEC6/CDH1/TREML2/HLA-A/ITGAL/IFITM1/ITGB2/LAIR2/FCGR2B/SFTPD/FCGR3A/RAET1E/JAML/SLAMF7/CD300A/SLAMF6/LILRA2/COLEC12/ICAM3	19
